Folder,Latitude,Longitude
71b300,29.19655958,79.09510039
71b300,29.19419441,79.09524791
71b300,29.19345215,79.09508396
71b300,29.19241515,79.09665037
71b300,29.19301019,79.09707718
71b300,29.19218597,79.09429841
71b300,29.19169103,79.094055
71b300,29.1921169,79.09372274
71b300,29.19121189,79.09394838
71b300,29.19059898,79.09374017
71b300,29.19109715,79.09326509
71b300,29.18858638,79.09415055
71b300,29.18453178,79.09318797
71b300,29.18360475,79.093653
71b300,29.18335038,79.09293719
71b300,29.18176209,79.09170505
71b300,29.18093426,79.09151394
71b300,29.18166929,79.09051415
71b300,29.17885005,79.09196958
71b300,29.17779065,79.09315746
71b300,29.17702456,79.09215532
71b300,29.17706408,79.09030326
71b300,29.17459015,79.09006186
71b300,29.17346542,79.0887811
71b300,29.17424676,79.08854909
71b300,29.17248121,79.08948854
71b300,29.16827608,79.08929508
71b300,29.16742327,79.08916634
71b300,29.16758575,79.0900699
71b300,29.16317021,79.08579044
71b300,29.16312542,79.08503707
71b300,29.16270558,79.08575054
71b300,29.15602889,79.08574417
71b300,29.15556657,79.08513062
71b300,29.15457076,79.0852312
71b300,29.15558384,79.08631213
71b300,29.15500352,79.08624843
71b300,29.15252993,79.0849204
71b300,29.15205939,79.08484798
71b300,29.15157918,79.08474203
71b300,29.15269653,79.08565834
71b300,29.15190683,79.08552323
71b300,29.16759161,79.01142955
71b300,29.17107688,79.01237838
71b300,29.18261478,79.0234606
71b300,29.19790355,79.02147442
71b300,29.19892762,79.02133327
71b300,29.20135532,79.01993517
71b300,29.20177822,79.01999753
71b300,29.20224151,79.02008604
71b300,29.21199669,79.01278809
71b300,29.21281314,79.01271768
71b300,29.22600274,79.01227813
71b300,29.250696,79.01948992
71b300,29.25104586,79.01934978
71b300,29.25140596,79.01907217
71b300,29.251776,79.01899036
71b300,29.2522572,79.0186809
71b300,29.25336994,79.01696965
71b300,29.25410737,79.01674401
71b300,29.25411907,79.01632424
71b300,29.25344131,79.01638962
71b300,29.25560182,79.01738573
71b300,29.2559271,79.01732571
71b300,29.25623803,79.01716411
71b300,29.25898612,79.01629239
71b300,29.25932103,79.01530098
71b300,29.26041147,79.01449062
71b300,29.26088999,79.01345059
71b300,29.25503113,78.9988406
71b300,29.25469153,78.99854958
71b300,29.24500594,78.98827236
